expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-24,call,225.0,0.0,0.0,74.65,4.0,0,74.65,last_price_fallback
2026-06-24,call,230.0,0.0,0.0,61.51,,0,61.51,last_price_fallback
2026-06-24,call,235.0,0.0,0.0,64.94,2.0,0,64.94,last_price_fallback
2026-06-24,call,245.0,0.0,0.0,46.01,,0,46.01,last_price_fallback
2026-06-24,call,250.0,0.0,0.0,49.0,1.0,0,49.0,last_price_fallback
2026-06-24,call,255.0,0.0,0.0,36.87,,0,36.87,last_price_fallback
2026-06-24,call,257.5,0.0,0.0,34.42,,0,34.42,last_price_fallback
2026-06-24,call,260.0,0.0,0.0,38.82,2.0,0,38.82,last_price_fallback
2026-06-24,call,265.0,0.0,0.0,34.8,1.0,0,34.8,last_price_fallback
2026-06-24,call,267.5,0.0,0.0,27.89,1.0,0,27.89,last_price_fallback
2026-06-24,call,270.0,0.0,0.0,29.16,1.0,0,29.16,last_price_fallback
2026-06-24,call,272.5,0.0,0.0,23.92,,0,23.92,last_price_fallback
2026-06-24,call,275.0,0.0,0.0,24.14,2.0,0,24.14,last_price_fallback
2026-06-24,call,277.5,0.0,0.0,21.34,52.0,0,21.34,last_price_fallback
2026-06-24,call,280.0,0.0,0.0,19.2,9.0,0,19.2,last_price_fallback
2026-06-24,call,282.5,0.0,0.0,18.34,35.0,0,18.34,last_price_fallback
2026-06-24,call,285.0,0.0,0.0,12.4,170.0,0,12.4,last_price_fallback
2026-06-24,call,287.5,0.0,0.0,11.5,106.0,0,11.5,last_price_fallback
2026-06-24,call,290.0,0.0,0.0,8.0,309.0,0,8.0,last_price_fallback
2026-06-24,call,292.5,0.0,0.0,5.45,133.0,0,5.45,last_price_fallback
2026-06-24,call,295.0,0.0,0.0,3.5,1070.0,0,3.5,last_price_fallback
2026-06-24,call,297.5,0.0,0.0,2.2,5004.0,0,2.2,last_price_fallback
2026-06-24,call,300.0,0.0,0.0,1.16,12311.0,0,1.16,last_price_fallback
2026-06-24,call,302.5,0.0,0.0,0.64,16148.0,0,0.64,last_price_fallback
2026-06-24,call,305.0,0.0,0.0,0.3,8574.0,0,0.3,last_price_fallback
2026-06-24,call,307.5,0.0,0.0,0.15,4705.0,0,0.15,last_price_fallback
2026-06-24,call,310.0,0.0,0.0,0.06,4917.0,0,0.06,last_price_fallback
2026-06-24,call,312.5,0.0,0.0,0.05,1336.0,0,0.05,last_price_fallback
